,randomized,question_url,course_code,question_id,inductive_coding_question_type,relevance_to_course_content,contextual,additional_notes_on_question,complexity_of_question,reason_for_complexity,Media,question_title,question_body,question_good_count,Time,instructor_answer,instructor_answer_good_count,instructor_task_completion,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,,,,,,,,,,,,,,,,,,,
14,313,https://piazza.com/class/kyv6e51g6211zk/post/020,COMP2611,question @20,exercise_question,,yes,,,,1,HW1 Q3b ans,"May I ask why the ans of hw1 q3b is 

[fig1]

why not F = (/A2+A1+A0)(A2+/A1+/A0)(A2+/A1+A0)(A2+A1+/A0)?

Thank you",0,Updated 2 years ago by Loading...,"Please refer to the lecture note on digital logic, pages 26-28.",0,1,,,,,,,,,,,,,,,,,,,,,,,
15,50,https://piazza.com/class/kyv6e51g6211zk/post/021,COMP2611,question @21,exercise_question,,yes,,,,0,Hw2 Q3,"For Q3 c) d) e) and f), I wonder whether it is reusing the system built in b) with the min number of bits needed for the exponent, or building a new one for those questions.

For example, let's say I made the system in b) with m bits for exponent and (16 - m) bits for significand which m is indeed the min number required for b),

do I use the same system to find the max length that can be represented? Or do I make a new one that has n bits for exponent and (16 - n) for significand that really can represent the real max length from a 16 bits system? (m != n)",0,Updated 2 years ago by Anonymous Helix,"Yes, you need to use the system designed in (b) to answer parts (c) to (f) and see how the system designed by you would work. This question tries to show you how you could build your own data representation scheme (data type) based on some given information - this is in general not possible in high level languages like C++, but possible in the instruction level.",1,2,,,,,,,,,,,,,,,,,,,,,,,
16,416,https://piazza.com/class/kyv6e51g6211zk/post/022,COMP2611,question @22,exercise_question,,yes,,,,0,"hw2, q3","Does cdef use the result of b? i.e. we determine the minimum number of bits needed for exponent in question b, in the following questions, we need to follow the allocation the same as qb?

Update: it seems to be a duplicate of a latest question, but I don't know how to delete this one.",0,Updated 2 years ago by Anonymous Poet,"No problem, yes this is a duplicate of a previous thread. The answer is the same:

Yes, you need to use the system designed in (b) to answer parts (c) to (f) and see how the system designed by you would work. This question tries to show you how you could build your own data representation scheme (data type) based on some given information - this is in general not possible in high level languages like C++, but possible in the instruction level.",1,2,,,,,,,,,,,,,,,,,,,,,,,
17,379,https://piazza.com/class/kyv6e51g6211zk/post/023,COMP2611,question @23,hw_content_clarification,,yes,,,,0,HW2Q2,"The title said if it can't be represented precisely, need to find the nearest approximation, so do we need to convert it back to decimal of the cut off version?",0,Updated 2 years ago by Loading...,Representation in binary will be good enough. Please give the nearest approximation representation in binary. You don't have to convert to decimal,1,2,,,,,,,,,,,,,,,,,,,,,,,
18,57,https://piazza.com/class/kyv6e51g6211zk/post/024,COMP2611,question @24,logistics,,,,,,0,Attending zoom with double device in the midterm,During the midterm can we join the same zoom with both PC and phone? So phone serves as camera and PC serves as chat. As in case we need help during the exam it’s very difficult to type on a phone that’s holded on a holder in the side. typing direcly from the PC is much easier.,0,Updated 2 years ago by Anonymous Beaker,"You are not allowed to chat with your classmates during the exam. Also because the exam will consist of well defined MCs and short questions, the TAs may not be able to offer you any assistance. Therefore probably it is not a good idea to log in ZOOM using both the PC and the cellphone (i.e. cellphone alone is enough).",0,1,,,,,,,,,,,,,,,,,,,,,,,
19,303,https://piazza.com/class/kyv6e51g6211zk/post/025,COMP2611,question@25,exam_scope,,,,,,0,The format of exam,What would be the format of the exam? multiple choices? Do we need to draw the logic circuit?,0,Updated 2 years ago by Anonymous Mouse,The number of questions will be revealed during the exam.,0,1,,I see.. single choice and short answer. but how many qs would be there,0,,,,,,,,,,,,,,,,,,,,
20,212,https://piazza.com/class/kyv6e51g6211zk/post/026,COMP2611,question @26,exercise_question,,,,,,1,One Question on Pastpaper,"[fig1]
Can anyone explain a bit about this question? Any help would be greatly appreciated! Thank you!!",2,Updated 2 years ago by Anonymous Poet,It is effectively asking how many bits is required to store numbers from 0 to 9.,0,1,~ An instructor (Alex Lam) endorsed this answer ~,"Similar to the last question in the HW 1, but we need to be able to count up to 9 base 10 - 1001 base 2 - that requires 4 outputs, hence 4 flip-flops",1,,,,,,,,,,,,,,,,,,,,
21,462,https://piazza.com/class/kyv6e51g6211zk/post/027,COMP2611,question @27,exercise_question,,yes,,,,0,HW2 Q1 a&#xff09;1&#xff09;,why the answer for decimal is -2346_ shouldn't it be -2347 _,0,Updated 2 years ago by Anonymous Gear,"Yes, there is a typo and it should be -2347. The solution at the course web has been updated for this typo.",1,2,,,,,,,,,,,,,,,,,,,,,,,
22,189,https://piazza.com/class/kyv6e51g6211zk/post/028,COMP2611,question @28,logistics,,,,,,0,Question on notes that are allowed in mid term exam,May I ask that are hand-written notes allowed in the mid-term exam? Or only the given lectures notes sets are allowed to be used?,0,Updated 2 years ago by Anonymous Mouse,"Yes, you can have hand written note. But you are not allowed to use any electronic device to read the note (this includes the computer you are using for answering the midterm questions).",0,1,,I guess yes. Since Cindy said during the lecture that hand written cheat sheet is allowed,1,,,,,,,,,,,,,,,,,,,,
23,571,https://piazza.com/class/kyv6e51g6211zk/post/029,COMP2611,question @29,lecture,,,,,,0,while loop example,"Can I please ask that in the while loop example why do we need to sll first ?

sorry a bit lost there 

I know that we are trying to calculate the address of save[i] but not sure completely 

thank you 

any help appreciated",0,Updated 2 years ago by Anonymous Atom,"Suppose you have a *word* array, arr[5] = {1, 2, 3, 4, 5}. The base address (starting address) is at $s0.

The address of arr[0]: $s0

The address of arr[1]: $s0 + 4 (4 is offset, it's 1 x 4)

The address of arr[2]: $s0 + 8 (8 is offset, it's 2 x 4)

and so on...

If we use $s1 to hold i, array index. $t0 for arr[i], $t1 for address of arr[i]
Then $t1 = $s0 + 4 * $s1

We haven't learned multiplication MIPS instruction, so we use shift left for 2 position as a shortcut of multiplication by 4.

For example, 00010, after shift left by 2 positions, 01000. (Note, use shift as shortcut of multiplication assumes it's for unsigned, and the result still fits in the representable range).",2,2,,"by sll $t1, $s3, 2, we calculated i*4.As each element in the array takes 4 bytes, so when the index increase by 1, the address increase by 4. So this is just making use of the index difference to calculate the address difference. And adding that address difference to the base address will get the address of the ith element in the array.",0,,,,,,,,,,,,,,,,,,,,
24,162,https://piazza.com/class/kyv6e51g6211zk/post/030,COMP2611,question@30,hw_content_clarification,,yes,,,,0,HW3 Q1,"For Q1, can I assume the length of array will always be 10 in the test case. If not, will the length of array be 0 or 1.",0,Updated 2 years ago by Anonymous Calc,"I think in general you shouldn't assume a fixed size for the arrays. In fact we could change the array sizes easily by changing the constant 10 in the following three labels and create a test case for arrays of size different than 10

A: .word 0:10
Accum: .word 0:10
size: .word 10

Moreover you are required to implement the the AccumulateArray function, the parameter $a1 passed to it will be holding the array size, so it will be good if you could use $a1 for the array size. The arrays will be at least 1 in size (no possibility of having the size being 0), you can check that from the given C++ program. Hope this helps!",0,1,,,,,,,,,,,,,,,,,,,,,,,
25,310,https://piazza.com/class/kyv6e51g6211zk/post/031,COMP2611,question @31,course_material,,,,,,0,Lecture recording,"Hello,

I am unable to find Professor Cindy's Lecture recording for 12th April on Canvas. Can the Professor please assist?

Thank you",0,Updated 2 years ago by Anonymous Comp,"Oops, sorry. I just released it.

Direct link:

Topic: COMP2611 (L1) - Lecture by Cindy LI

Start Time: Apr 12, 2022 10:22 AM
Meeting Recording:

https://hkust.zoom.us/rec/share/affrAGAUEZYBXl9yJ2tKcFXAdE_m6GK24OWFvelOqfSUc380byLXBHJf12Nd8tnk.mV3Og3MPmKm_ekQU",1,2,,,,,,,,,,,,,,,,,,,,,,,
26,332,https://piazza.com/class/kyv6e51g6211zk/post/032,COMP2611,question @32,exam_scope,,,,,,0,can i use pseudo instructions?,"for example, bge (branch if greater of equal)",0,Updated 2 years ago by Anonymous Gear,"It is okay to use pseudo instructions. In fact for some of the instructions like ""la"" (Load address) is only available as a pseudo instruction. But we do not recommend you using pseudo instruction too frequently, because in the real MIPS hardware those pseudo instructions do not exist.",0,1,,,,,,,,,,,,,,,,,,,,,,,
28,193,https://piazza.com/class/kyv6e51g6211zk/post/034,COMP2611,question @34,hw_content_clarification,,yes,,,,0,HW3 Q3 Overflow,"For large exponents, do we need to deal with cases where the integer gets left shifted into an overflown value",0,Updated 2 years ago by Anonymous Mouse,"No, you don't need to deal with the possibility of overflowing. If you read the problem description, it says: ""For simplicity you may assume ... and the integer part of the number will not overflow the 32-bit signed integer datatype."".",0,1,,,,,,,,,,,,,,,,,,,,,,,
29,39,https://piazza.com/class/kyv6e51g6211zk/post/035,COMP2611,question @35,lecture,,,,,,0,Definition of new procedure,"Does that mean a label that consists both jal and jr $ra instructions? Or consisting either jal or jr $ra is already a procedure? I found that it is impossible to not use jr $ra in my loop label in order to return to main. In other words, I would like to know if using jr $ra in loop label would be considered as defining new procedures.",0,Updated 2 years ago by Anonymous Beaker,"A procedure/function typically starts from a label and ends with jr $ra. If you would like to call a procedure and jump back to the caller, then using the ""jal "" is a must. Because jal would store the return address to $ra. Without jal, your $ra would be holding garbage (or 0).",0,1,,,,,,,,,,,,,,,,,,,,,,,
32,562,https://piazza.com/class/kyv6e51g6211zk/post/039,COMP2611,question @39,hw_noncontent_clarification,,,,,,0,how to open file in Mars,"there is no choice for me to open the .asm file in mars. i try to follow the previous answer in pizza, but it's not applicable for my Mac",0,Updated 2 years ago by Anonymous Comp,"I don't have a Mac to try so I am not sure how this could be solved on Mac (though I think you should be able to solve it perhaps through googling). But in the worst case, there is a last resort - you could use the virtual barn machines of UST, download the MARS there and double click to start MARS. Opening a file will then be exactly the same as what you have seen in the lab videos (i.e. ""File""->""Open""). You can get the information on accessing the UST virtual barn at https://itsc.hkust.edu.hk/services/academic-teaching-support/facilities/virtual-barn, look into the three links of the ""Getting Started"" part.",0,1,,"https://www.youtube.com/watch?v=biRK0FruiHg&t=162s&ab_channel=Matt

I encountered the same problem and watched this vdo, hope this helps.",0,,,,,,,,,,,,,,,,,,,,
33,463,https://piazza.com/class/kyv6e51g6211zk/post/040,COMP2611,question @40,project_noncontent_clarification,,,,,,0,Question on losing condition and task for us,"In the video from the Youtube, the player would lose immediately when dropping out of the screen (bottom of the screen), l would like to ask if it is the same for our project ? if so, since we are only asked for checking the boundary on x-axis, how are we going to achieve that. (For now, my codes work but when the player drop to the bottom of the screen, it would fall again from the top of the screen instead of losing immediately.)",0,Updated 2 years ago by Anonymous Gear,Yes. The y-axis condition checking has been implemented in the skeleton file. So you only need to implement the x-axis boundary checking.,0,1,,,,,,,,,,,,,,,,,,,,,,,
34,549,https://piazza.com/class/kyv6e51g6211zk/post/041,COMP2611,question @41,project_debugging,,,,,,0,Upper spine hurt and platform y speed,"Hi, the functionality for hurting of the upper spine doesn't seem to work when jumping on a spring platform or when the platform_y_speed increases beyond the initial speed.

Also, when the last stood on platform exits the screen, the platform_y_speed is reset to initial.

I would like to know if these two behaviour is intended?",0,Updated 2 years ago by Anonymous Calc,"The upper spine hurt is checked by the y_location of the player. Therefore, the player may not get hurt sometimes by design. 

These two behaviors exist by design. You do not need to fix them.

Also, your score will not be influenced by them.",1,2,,,,,,,,,,,,,,,,,,,,,,,
35,307,https://piazza.com/class/kyv6e51g6211zk/post/045,COMP2611,question @45,course_material,,,,,,0,4.21 COMP2611 Cindy's Lecture Recording,I have trouble finding Cindy's Lecture recoridng on 4.21. Could Cindy please kindly release it?,1,Updated 2 years ago by Anonymous Gear,"It's strange. I released on Thur.

I just hide and then release the video again. Please see whether you can access it.

https://hkust.zoom.us/rec/play/tzPsVCyCLpsFb9yNzqM-4fXn6AVJInhS34ufyBA4sTD-abcpKH2AVSOgLLbQFIncN5zGwwJpN2f3SyQK.Tq0Mlq17CJqfpvaT",1,2,,,,,,,,,,,,,,,,,,,,,,,
36,487,https://piazza.com/class/kyv6e51g6211zk/post/046,COMP2611,question @46,project_debugging,,yes,,,,0,Problem on pa task 1,"When I change the id of player into 01 at player_move_right which said in the hints and try to run, mips will freeze and I can't do anything but force to close it. What is the problem?",0,Updated 2 years ago by Loading...,"The player id should be -1, ""01"" in the hints this is a typo.",0,1,,"Find out change back to -1 than ok, is this a typo of the hints that said to change id to 01?",0,,,,,,,,,,,,,,,,,,,,
37,521,https://piazza.com/class/kyv6e51g6211zk/post/047,COMP2611,question @47,project_debugging,,yes,,,,0,Problem about the Spring platform,"In task 4, I set the correct player y_speed to player_speed but I cant jump when I land on it
Or the Spring means I will get a slightly jump when I leave that platform",0,Updated 2 years ago by Loading...,"Please use the variable ""spring_platform_upward_speed"" to specify the correct playery_speed.",0,1,,,,,,,,,,,,,,,,,,,,,,,
38,497,https://piazza.com/class/kyv6e51g6211zk/post/048,COMP2611,question @48,troubleshooting,,,,,,0,Cannot open MARS,"Hello,

I downloaded the new MARS application from the website portal, but I am not able to open it on my laptop. I have already installed the latest version of jar, and I was previously able to successfully use Mars, but for some reason cannot open the nw version of Mars required for the programming assignment. 

I have a mac.",0,Updated 2 years ago by Anonymous Gear,"This version works for me and several students on MacOS, you can have a try.",0,1,,"You can refer to this post. Though I have not tested it on Mac, it should be the same on every platform.",0,,,,,,,,,,,,,,,,,,,,
39,478,https://piazza.com/class/kyv6e51g6211zk/post/049,COMP2611,question @49,course_material,,,,,,1,Cannot find PA recording,"Dear TA,

Could you please upload the recording of the session mentioned in the following image. I would like to go through it.

[fig1]

Thankyou so much!",0,Updated 2 years ago by Anonymous Atom,"The PA recording is released now, please check it :)",1,2,,,,,,,,,,,,,,,,,,,,,,,
40,795,https://piazza.com/class/kyv6e51g6211zk/post/050,COMP2611,question @50,project_debugging,,yes,,,,0,Problem on task 6,"Unable to destory platform. The init platform id should be 1 to 10 but I choose any number between 1 to 10 and store in a0 to call 208, it always said that GameObject: id does not exist! However I choose any number other than 1 to 10 there will be no error.",0,Updated 2 years ago by Anonymous Beaker,"Please double-check your code carefully. There might be some mistakes in your implementation. 

For example, try to change the location of a platform. Or, check if the platforms have been destroyed elsewhere. 

If the platform has been destroyed, when you refresh the screen, you will not see the platform.",1,2,,"So, this thing is happening with me as well, turns out, it will happen if you have not finished the whole task, if after executing syscall 208, you do

jr $ra

which I was doing to check if my program is working or not, it will take you to this section of the skeleton code: -

which tries to execute syscall 207 with id 1 (for the first case) to set the location of platform of id 1 (which doesn't exist anymore). According to the points mentioned in the hint for Task 6, you need to update the address. So it is imperative to finish the task in order to debug it.",1,,,,,,,,,,,,,,,,,,,,
41,863,https://piazza.com/class/kyv6e51g6211zk/post/051,COMP2611,question @51,project_debugging,,yes,,,,0,Task 7: current_platform_address,"Hi, I am recently doing task 7, and I have gone through tasks 1-6. But after implementing task 7, the game initializes with the winning message directly.

At first, I was wondering was there anything I do wrong with the current_platform_address when completing Task1-6, that's why it is not returning a right id. Noted that the game will first check if the player wins or loses the game, so as to further proceed with any movements in the main loop m_loop, 


jal check_game_level_status<--- Task 7

Meaning it is the very first step of all the tasks. So I tried to start again from the skeleton code, of which only Task 7 is filled, and it also ends with a winning message again. That's why I would like to ask, what will be the problems? Or it is set purposely that we have to solve it? Just want to confirm if it is my problem. Thank you.",0,Updated 2 years ago by Anonymous Gear,"The game initializes with the winning message means that the platform id saved in the address is greater than 20. 

Please note that the data saved in the ""current_platform_address"" is an address. I guess you load the address from ""current_platform_address"" and read 0($current_platform_address) as the platform id, which is wrong.

If so, the value you read is likely to be greater than 20.",0,1,,,,,,,,,,,,,,,,,,,,,,,
42,191,https://piazza.com/class/kyv6e51g6211zk/post/054,COMP2611,question @54,project_content_clarification,,,,,,0,How is the interface of the game built?,"I do not really understand how the skeleton build the game interface in the mips code, I think that it should be related to the modified mars? How you actually did it? (e.g. where are the image/src stored? how they are loaded?... etc)

This is not related to the project itself but I am just curious, thank you so much!",0,Updated 2 years ago by Anonymous Comp,"Interesting question. 

The MARS is open-source software. The game-related code, images, and sound are added to the MARS project. 

Here is a screenshot of the project, FYI.",2,2,,,,,,,,,,,,,,,,,,,,,,,
43,442,https://piazza.com/class/kyv6e51g6211zk/post/055,COMP2611,question @55,project_debugging,,yes,,,,0,Task7: check game level status,"In Task7: check gamelevel status, after checking whether the player's y location is grater than the screen height(600), the game still continues even when the player falls out of the screen and the player would then falls from the top of screen without termination of the game. I would like to ask if this is a problem i need to fix ?",0,Updated 2 years ago by Anonymous Atom,"When the y-location is greater than the screen height, the life value is set to 0. 

Specifically, In the procedure ""player_falling"", if y_loc > 600, the procedure ""player_lose"" is invoked to set life_value = 0.

If the game continues for your case, please check previous tasks if the life value is not correctly set to 0 somewhere.",0,1,,,,,,,,,,,,,,,,,,,,,,,
44,272,https://piazza.com/class/kyv6e51g6211zk/post/056,COMP2611,question @56,troubleshooting,,,,,,0,cant open modified mars on virtual barn,"hi, i'm on my last resort and trying to open the modified MARS file on virtual barn, but i need to install JDK on it since the version on virtual barn isnt the right version. however, i cant run any .exe files to install it without admin access so im kind of stuck. any ideas?",0,Updated 2 years ago by Anonymous Comp,"I re-compiled the MARS project with JDK version 1.8.0 (a.k.a. java 8). This newly compiled version is compatible with different JRE versions from java 8 to java 18.

Mars_NS-shaft_java8.jar",1,2,,,,,,,,,,,,,,,,,,,,,,,
45,632,https://piazza.com/class/kyv6e51g6211zk/post/058,COMP2611,question @58,project_debugging,,yes,,,,0,Problem with task 6,"I have just implemented task 6 with correct shifting and the generation of new platforms. I followed the hints exactly.

I can only run the game when task 6 is being executed under the condition that I set a breakpoint before the loop for shifting the elements in ""platforms"", then the program at needs to be executed one step at a time until the function is finished. But if I let it run normally, it crashes when a platform touches the top of the window, In this situation, I can't go back, can't pause, can't stop. I have to reopen the application. Is there anyone facing the same problem? or has faced the problem and can share how the bug is to be fixed please? 

The thing I find strange is how is it that the same program can crash and not crash at the same time.

Any guidance or general direction? Thanks",0,Updated 2 years ago by Anonymous Calc,"Please note that, the syscall 211 has two inputs: $a0: last platform x_loc, $a1: screen width.

You can refer to Table 5 in the project PDF document.",1,2,,"I think the problem is with syscall_211 in step 6

# 6. Generate the x_loc of the new platform: x_loc = Syscall_211 ($a0=x_loc of last platform)

I have tried to put breakpoints behind and after the instruction with this syscall. It works differently

It also seems that syscall with 211 always return the same result. It is d3 in my computer",0,,,,,,,,,,,,,,,,,,,,
46,708,https://piazza.com/class/kyv6e51g6211zk/post/059,COMP2611,question @59,project_noncontent_clarification,,,,,,0,end state text and submission,"Is it normal that the end state text e.g. ""you win!"" won't go away if I recompile and play without closing the last window?

Also, do I need to submit a flow chart for the project, or just finishing the 8 tasks would be enough (in a way that could get me 100% given all the implementations are correct).

Thanks.",0,Updated 2 years ago by Anonymous Atom,"Q1: If you do not close the last game canvas and restart the game, the text ""you win!"" will not disappear. Therefore, you should first close the game canvas after playing. Then, you recompile and play the game for the next time. 


Q2: You need to submit a one-page flow chart as it accounts for a part of the grades of this PA.",1,2,,,,,,,,,,,,,,,,,,,,,,,
47,807,https://piazza.com/class/kyv6e51g6211zk/post/060,COMP2611,question @60,project_noncontent_clarification,,,,,,0,Demo of PA?,"Is it possible to get a sample gameplay of the final outcome of the project, to ensure we're doing the steps correctly?",1,Updated 2 years ago by Anonymous Mouse,"I just made a demo video for this game. Please check it: 

NS-shaft_Demo.mov

The video link on YouTube is:

https://youtu.be/FfN6o5lLnIY",3,2,,,,,,,,,,,,,,,,,,,,,,,
48,793,https://piazza.com/class/kyv6e51g6211zk/post/061,COMP2611,question @61,logistics,,,,,,0,Homework4 Schedule,May I know in advance the release date and due date of homework 4? So that I can better plan my studies in the next few weeks. Thanks!,0,Updated 2 years ago by Anonymous Atom,"We are still waiting to make sure all the sessions are done with single cycle datapath. Once this is confirmed, Homework 4 will be released shortly. We will give you more than enough time, and it is likely the deadline to be on 11th May.",1,2,,,,,,,,,,,,,,,,,,,,,,,
49,579,https://piazza.com/class/kyv6e51g6211zk/post/062,COMP2611,question @62,project_noncontent_clarification,,yes,,,,0,task4,"i want to ask if ""player_top_y_loc"" in the loop is referred to the value stored in ""player_locs“? if yes, what are the use of the input a0 and a1?",0,Updated 2 years ago by Anonymous Scale,"Yes, the player_top_y_loc is the y_loc stored in player_locs.",0,1,,,,,,,,,,,,,,,,,,,,,,,
