,randomized,question_url,course_code,question_id,inductive_coding_question_type,Media,question_title,question_body,question_good_count,Time,,instructor_answer,instructor_answer_good_count,instructor_endorsement_for_instructor_answer,student_answer,student_answer_good_count,instructor_endorsement_for_student_answer,pedagogy_1,clarity_1,annotator_notes,pedagogy_2,external references,relevant concepts,Example,visual aids,Others,clarity_2,annotator_notes
53,68,https://piazza.com/class/kyv6e51g6211zk/post/066,COMP2611,question @66,project_noncontent_clarification,0,Question 3a,"I read the question wrong. Now I see that the values in the table are when the given instruction is fetch (step 1 in 5). Sorry about that
 
 I have a few problems when trying to start Q3 in assignment4. 
 
 I am given one 32-bit MIPS instruction but is asked to change the value of 8 registers? 
 
 I thought $at is reversed for the assemabler and not supposed to be changed.
 
 It asks me to write one MIPS instruction to change 8 values?
 
 By MIPS instruction, do you mean in the 32-bit representation or like how we write in Mars?
 
 Following the 32-bit instruction, i got a different value for $t5 than in the table.
 
 Am I supposed to write an arbitrary programming, with e.g., addi $t5, $zero, 933, for part a?
 
 Thank you in advance.",0,Updated 2 years ago by Anonymous Atom,,"In that question, the register values are provided to be the initial values before that particular instruction is loaded from the memory to the datapath (the hw description says ""Assume the data memory contains all zeros and the registers have the following values when the instruction is fetched"").
 
 $at is a register typically for the assembler to support the ""pseudo instruction"" -> ""real MIPS instruction"" conversions, but you can use it, it is not a reserved register (unlike the $gp, $fp, $sp registers). Having said that, unless the instruction you are executing would modify $at, there is no need to change it.
 
 You are NOT asked to change the register values, you only need to change the registers when the execution outcome of the instruction would change their values.
 
 Write the instructions like what you would do in MARS, provide clearly the instruction name, the register names, immediate value, label(write the offset directly), or any other relevant information.
 
 You need to use the instruction encoding to figure out what this instruction really is. It is impossible that you ""got a different value for $t5 than in the table"" from the instruction encoding provided. You may have misunderstood the question, or thought of it in a wrong direction.",1,,,,,G,3,,I,,1,,,,3,
77,453,https://piazza.com/class/kyv6e51g6211zk/post/090,COMP2611,question @90,lecture,0,Setting of Control Signals,"On the table of slide 34, lecture slide Datapath and control, beq have memRead 0. My question is whether if X is also acceptable for memRead? Because as long as RegWrite and MemWrite is set to 0, nothing will change. Is it because of reading from memory take more time? Or did I misunderstand something somewhere?

Thanks.",0,Updated 2 years ago by Anonymous Calc,,"X means don't care, that indicates you can put it 0 or 1 as you wish. For the memRead it MUST BE 0 for ""non memory read instructions"". Otherwise since your ALU is supplying the memory address to the Data Memory through a hard-wired connection, it could supply an invalid address produced by ""non memory read instructions"", you can image what would happen if you enable memRead. For memory write instructions, memRead still needs to be 0 because we don't want to waste energy and time unnecessarily for an instruction that is not supposed to read.",1,,,,,,3,,I,,1,,,,3,
86,690,https://piazza.com/class/kyv6e51g6211zk/post/101,COMP2611,question @101,hw_content_question,0,qs 4a,"We are asked to connect one more line to the control unit for this question. However, as we learned from the lecture note, the control unit generates output through the combination of ALUOp and funct code. what would be the result if there are more inputs?",0,Updated 2 years ago by Anonymous Calc,,"This question is about implementing an I-type instruction, there is no function field in the encoding.
 If you are talking about the ALU control unit, then the ""result"" will be a proper control signal sent to the ALU to select an appropriate output. In the lecture note set, this control signal is called ""ALU Operation"". More inputs means you can supply additional information to the ALU control (which is effectively a circuit built by engineers like you).",1,,,,,,3,,I,,1,,,,3,
88,696,https://piazza.com/class/kyv6e51g6211zk/post/103,COMP2611,question @103,lecture,1,Some qs abput Control Hazards,"As shown in the following picture, there's only one cycle delay such that the latter instruction could start after the finish of ""Reg"" in beq instruction. this really confused me as I think Reg can't tell whether the next instruction should branch, while only the ALU can do that since it will do the comparison between the two operands.
[fig1]",1,Updated 2 years ago by Anonymous Gear,,"yes, exactly. This diagram is referring to the datapath described at the bottom of slide 40 of the note set (https://course.cse.ust.hk/comp2611/note/COMP2611_Processor_Part2_Spring22.pdf#page=40). The branch decision and branch target address calculation are both available after the ID stage.",1,~ An instructor (Alex Lam) endorsed this answer ~,p.40 said that we will add additional hardware to compare registers and compute target in ID stage in MIPS pipeline.,2,,,3,,P,1,,,,,3,
93,34,https://piazza.com/class/kyv6e51g6211zk/post/108,COMP2611,question @108,project_clarification,0,PA4: Only one life deducted when touches the spike,"The problem I am facing now is, when the player touches the spike, only one life will be deducted. However, two lives are deducted in the demonstration video. Is there any reason why this may happen? Thank you.",1,Updated 2 years ago by Anonymous Gear,,"Check if you added one life value. For example, change life decrease from -2 to -3 and see if the life value becomes -2.",1,,,,,G,3,,G,,,1,,,3,
95,478,https://piazza.com/class/kyv6e51g6211zk/post/111,COMP2611,question @111,troubleshooting,0,task 4,"After I finish implementing task 4, my Mars just froze and I can't stop execution or control the game object, and I have to restart Mars. I wonder if anyone has encountered the same problem. Thanks!!!",0,Updated 2 years ago by Anonymous Poet,,"Maybe you have just loaded an address into a register as a value. 
 
 For example, to get the x_loc of player into $a0, if you wrongly do:
 
 la $s0, player_locs
 
 add $a0, $zero, $s0
 
 Then you take $a0 as the x_loc of the player. The program will get frozen as you described.",1,,,,,G,3,,G,,,1,,,3,
100,622,https://piazza.com/class/kyv6e51g6211zk/post/116,COMP2611,question @116,exercise_question,1,Confusion about answer in past paper,"Hi there, 
 
 I don't quite get why do we have the last forwarding arrow in this problem (circled in blue), can anyone please explain a bit about it? Thank you!

[fig1]",2,Updated 1 year ago by Anonymous Gear,,"The reason is:
 
 1) sw $1, 4($7) relies on the previous add $1,$2,$8 for the updated value of $1 before writing it to the memory address (4+Reg[$7]). This value is needed at the ""Mem"" stage of ""sw"",
 2) The question says ""Full set of forwarding hardware is available, from any stage to any stage"",
 
 therefore we can do forwarding as shown in the table to supply the updated $1 content at the time it is needed.",1,,,,,,3,,,,,,,,3,
102,488,https://piazza.com/class/kyv6e51g6211zk/post/118,COMP2611,question @118,exercise_question,1,last question in the last tutorial note,"Assume there is only forwarding path from the output of the ALU to the inputs of the ALU.
 
[fig1]
 *given solution
 
 From 2nd to 3rd instruction, i understand why it is needed to wait for one cycle. But why 2 cycles? Why can't we have the data from exe in the 2nd instruction forwarded to the exe in the 3rd instruction?",0,Updated 1 year ago by Anonymous Scale,,"This question is a bit tricky:
 
 The third instruction depends on the ""lw"" and the earlier ""add"" instructions on $s1 and $s2 respectively. Forwarding only exists from ALU output->ALU inputs, so the earliest time the third instruction can get the updated $s1 value (i.e. by doing ID) is in (the second half of) the clock cycle 5 after after ""lw"" is done with WB (in the first half of the clock cycle). But then if you align this third instruction accordingly, you will notice that it will not be able to get updated value of $s2 from the earlier ""add"" (i.e. the required forwarding is Mem->ALU, but this does not exist according to the problem description). Therefore the only way to get the updated value of $s2 is through ID, and therefore the third instruction can only do ID when the earlier ""add"" is done with WB in the first half of clock cycle 6.",2,,,,,,3,,,,,,,,3,
103,203,https://piazza.com/class/kyv6e51g6211zk/post/119,COMP2611,question @119,exercise_question,1,Question on hw4 suggested answer last question,"[fig1]
How is the connection of 1-bit blt signal is going to 'help' ALU control to let ALU do the slt operation?
 Isn't this the same ALU control mentioned in the lecture notes, where the only possible way is for ALU to do slt operation is for ALU control to have ALUOp input as '1X', then do slt for R-type instructions?
 
 Moreover, isn't this just the same ALU control unit as in our lectures notes, where the inputs are only ALUOp + Function code, how is the extra blt signal going to connect? is it connected to somewhere internally in a ALU control, does it indicate it actually need to change something WITHIN the ALU control?",0,Updated 1 year ago by Anonymous Atom,,"I think Yigit points out exactly the issue :). Also if you read the question description it says you are given a ""modified single-cycle datapath"", meaning that indeed the datapath components could be different than the original ones.",1,~ An instructor (Alex Lam) endorsed this answer ~,"Because of this part in the question text:
 
 The encoding of the blt instruction is exactly the same as the beq instruction
 
 beq instruction is an I-type instruction with no funct code. Therefore, the funct code will not be carried into ALU control (assume garbage input), and given the ALUOp is already filled up with other types of operations (and no slt except with a funct code in R-type instructions), we need to carry the signal that this is a blt operation to the ALU Control unit in this way.
 
 Source: I did the same mistake as well.",3,,,2,,I,,1,,,,3,
104,861,https://piazza.com/class/kyv6e51g6211zk/post/120,COMP2611,question @120,exercise_question,0,2012 pastpaper,Do we need to consider questions like the following one? It seems these things like cpi MFLOPS haven't been included in the lecture notes.,0,Updated 1 year ago by Anonymous Gear,,"No, you don't need to know the terms like CPI, MFLOPS for this semester.",1,,,,,,3,,,,,,,,3,
105,359,https://piazza.com/class/kyv6e51g6211zk/post/121,COMP2611,question @121,exercise_question,1,solution,"is it ok to change the addu to add.
[fig1]",0,Updated 1 year ago by Anonymous Atom,,"Yes, it is okay here.",1,,,,,,3,,,,,,,,3,
109,528,https://piazza.com/class/kyv6e51g6211zk/post/125,COMP2611,question @125,lecture,1,Data Hazard,"I don't quite understand why we can do sub's ID without waiting for the finish of add's WB as $s0 cannot be guaranteed to be updated when doing sub's ID if they happen at the same time. 
 so don't we need to wait for one more cycle?
[fig1]",1,Updated 1 year ago by Anonymous Atom,,It is because register writeback happens in the first half of a clock cycle. Register read happens in the second half of the clock cycle. Check out https://course.cse.ust.hk/comp2611/note/COMP2611_Processor_Part2_Spring22.pdf#page=35,1,,,,,P,3,,"I,P",1,1,,,,3,
110,710,https://piazza.com/class/kyv6e51g6211zk/post/126,COMP2611,question @126,exam_scope,0,Unoptimized Algorithms for Division and Multiplication,"Dear Professors,
 
 Will we be tested for the non-refined / unoptimized algorithm for multiplication of binary numbers? Or should we just focus on the optimized algorithm for multiplication. What about the pen-and-paper procedure for both multiplication and division? Will that be covered in the exam?
 
 Thank You!",2,Updated 1 year ago by Anonymous Calc,,"I don't want to disappoint you, but unfortunately as an instructor, I can only say: it is within the scope of the final exam. Sorry, if this doesn't help much...",1,,,,,,3,,,,,,,,3,
116,391,https://piazza.com/class/kyv6e51g6211zk/post/132,COMP2611,question @132,exercise_question,1,Question8 in 2017 fall past paper,"Hi, I would like to ask why the last forwarding happens between MEM of add $1, $2, $8 and MEM of sw $1, 4($7)? Why can’t it happen between add’s EX and sw’s MEM?
[fig1]",0,Updated 1 year ago by Anonymous Comp,,"The question says ""Full set of forwarding hardware is available, from any stage to any stage (provided it does not violate the timing consistency)"".
 As for the question ""Why can’t it happen between add’s EX and sw’s MEM?"", this is because you can only forward in the adjacent clock-cycles. Imagine the cycle as weekdays, then you can forward at the end of Monday/beginning of Tuesday (end of cycle 8)to Tuesday.(cycle 9). But you can't forward at the end of Sunday/beginning of Monday to Tuesday. You need to think deeper to understand why this is not possible.",2,,"Hi, I would like to ask why the last forwarding happens between MEM of add $1, $2, $8 and MEM of sw $1, 4($7)? Why can’t it happen between add’s EX and sw’s MEM?",2,,,2,,G,,1,1,,,3,
119,476,https://piazza.com/class/kyv6e51g6211zk/post/135,COMP2611,question @135,course_material,0,Mock Final Exam,Is it possible to re-open the mock final exam for us to have a final practice? Thank you so much!,1,Updated 1 year ago by Anonymous Gear,,"Re-opened till tomorrow 24/5, 8:30am HKT.",1,,,,,,3,,,,,,,,3,
123,428,https://piazza.com/class/kyv6e51g6211zk/post/139,COMP2611,question @139,exam_logistics,0,zoom link of final exam,The email Alex sent us contains a link that said forbidden access. May I know where can we find the zoom link for tomorrows exam?,0,Updated 1 year ago by Anonymous Atom,,"It is at https://course.cse.ust.hk/comp2611/exams/remarks.html , you can also find it from the document at https://course.cse.ust.hk/comp2611/exams/Final-InformationToStudents_revised.pdf",1,,,,,,3,,P,1,,,,,3,
126,492,https://piazza.com/class/ke5ei5tq8v3a7/post/011,COMP3711H,question @11,exercise_question,0,Problem 2: complicity of gcd,"In Problem 2 of hw1, it is stated that ""each call to gcd( ) does only O(1) work"". However, it calculates n mod m and that require more than O(1) (A naive algorithm for division is O((number of digits in n)*(number of digits in m))=O(log(n)log(m), leading to a O(log(n)2log(m)) algorithm.)
 
 function gcd(n, m) %Assume 0<m<n
 1. if m = 0
 2. return (n)
 3. else
 4. return (gcd(m, n mod m))
 run code snippetVisit Manage Class to disable runnable code snippets×",0,Updated 3 years ago by Loading...,,"Our work model here is that the “mod” operation takes O(1) time. This is similar to assuming that other arithmetic operations, e.g., multiplications, addition, subtraction and division, require O(1) time (and is usually done in the informal RAM model.)

This is an implicit assumption but is not important because it has no effect on the actual problem. The problem specification was explicitly designed to make this unambiguous. It specifies that you should measure “the number of recursive calls made”.

This number does not depend upon the running time of the “mod” operation

regards, mj golin",1,,,,,,3,,G,,1,1,,,3,
127,770,https://piazza.com/class/ke5ei5tq8v3a7/post/015,COMP3711H,question @15,exercise_question,0,HW1 Q4,"Dear Professor,
 
 If I have understood correctly, in problem 4, inside(P,q) returns true even if q is on the boundary. So my question is, does InT(p, q, r, s) also return true if p is on an edge of the triangle formed by q, r, s? What if p is one of the vertices?
 
 Thanks.",0,Updated 3 years ago by Anonymous Poet,,"Yes.

InT(p, q, r, s) also returns true if p is on a edge or is one of the vertices of the triangle formed by q, r, s.

regards, mj golin

P.S. Formally, we view triangles as closed polygons (with three edges)",1,,,,,,3,,,,,,,,3,
